rank_overall,theologian,sermon_id,sermon_key,cluster,overall_score,n_scores,aesthetics.dramaturgy.b1_narrative_arc.score,aesthetics.dramaturgy.b2_integration_text_and_context.score,aesthetics.dramaturgy.b3_openness_vs_closedness.score,aesthetics.poetics.a1_imagery.score,aesthetics.poetics.a2_carefulness_and_precision.score,aesthetics.poetics.a3_musicality_and_rhythm.score,aristoteles.ethos.score,aristoteles.logos.score,aristoteles.orthodoxy_logos.score,aristoteles.orthopathy_pathos.score,aristoteles.orthopraxy_ethos.score,aristoteles.pathos.score,dekker.1_specific_bible_passage.score,dekker.2_exegesis_original_context.score,dekker.3_application_concrete_contemporary.score,dekker.4_interwoveness_exposition_application.score,dekker.5_three_parts_misery_redemption_gratitude.score,dekker.6_two_ways_seriousness_of_choice.score,dekker.7_christocentric_grace.score,dekker.8_depth_and_length.score,kolb.abstract_conceptualization.score,kolb.active_experimentation.score,kolb.concrete_experience.score,kolb.integrality.balance_between_phases.score,kolb.integrality.cycle_completeness.score,kolb.integrality.holistic_learning.score,kolb.reflective_observation.score,metaphor.coherentie.score,narrative.coherentie.score,schulz.appeal_aspect.score,schulz.factual_content.score,schulz.relational_aspect.score,schulz.self_revelation.score,transactional.adult.score,transactional.child.free_FC.score,transactional.child.freedom_AC.score,transactional.parent.freedom_CP.score,transactional.parent.nurturing_NP.score
251,rutledge,25,rutledge_25,7,6.657894736842105,38,8,9,7,8,8,7,7,7,8,8,6,8,4,3,7,5,7,6,6,4,7,5,8,6,6,7,7,10,10,6,7,5,6,8,7,5,6,4
252,rutledge,301,rutledge_301,7,6.657894736842105,38,7,8,7,7,8,6,7,6,7,8,7,8,5,4,7,5,6,6,6,4,7,5,7,6,6,6,6,7,9,7,6,6,7,9,6,9,8,7
253,rutledge,314,rutledge_314,6,6.657894736842105,38,7,8,6,8,7,6,6,7,8,8,6,8,5,7,6,4,6,3,7,5,6,5,7,6,6,6,8,10,10,7,7,5,6,9,4,8,7,8
254,rutledge,337,rutledge_337,7,6.657894736842105,38,7,8,7,7,8,6,7,5,6,8,8,8,5,3,6,4,6,5,7,2,6,5,8,6,7,7,7,10,9,5,6,6,7,9,7,8,8,9
255,rutledge,364,rutledge_364,6,6.657894736842105,38,7,8,6,8,7,6,7,7,8,5,7,6,4,5,6,5,6,4,7,3,7,4,7,6,6,6,8,10,10,8,7,6,6,9,7,9,8,7
256,rutledge,56,rutledge_56,6,6.657894736842105,38,6,8,6,7,8,7,8,6,7,6,8,7,5,4,6,4,6,5,5,7,7,5,7,6,6,7,8,7,9,7,7,5,6,9,7,9,8,7
257,rutledge,92,rutledge_92,6,6.657894736842105,38,6,8,6,7,8,7,8,7,8,6,7,6,4,6,5,4,6,3,7,5,8,5,6,6,6,6,7,10,9,7,7,5,6,8,7,9,8,9
258,solle,20,solle_20,4,6.657894736842105,38,7,8,7,8,7,6,8,6,6,8,8,7,4,5,7,4,5,5,3,4,7,6,7,7,7,7,8,7,7,6,6,5,7,9,8,9,8,9
259,taylor,119,taylor_119,4,6.657894736842105,38,6,8,6,7,8,8,8,5,6,8,8,7,5,6,7,4,6,5,5,7,6,5,7,6,6,7,8,7,7,5,6,8,7,8,6,9,7,8
260,taylor,43,taylor_43,7,6.657894736842105,38,7,8,5,7,6,8,7,6,8,9,7,8,5,6,6,4,5,4,7,3,7,5,8,6,6,7,6,7,10,8,6,5,7,7,6,9,8,9
261,taylor,80,taylor_80,4,6.657894736842105,38,6,7,5,7,6,8,7,5,6,8,7,8,5,4,5,6,5,3,6,7,6,5,8,6,7,7,7,10,9,5,6,7,8,7,9,8,8,9
262,taylor,92,taylor_92,4,6.657894736842105,38,6,8,7,8,7,9,7,6,7,8,7,8,3,2,7,3,6,5,6,8,6,5,8,6,6,7,7,7,6,7,6,8,7,8,7,8,7,9
263,brueggemann,50,brueggemann_50,4,6.631578947368421,38,7,8,6,8,7,9,7,6,8,9,7,8,3,5,6,7,6,4,5,6,8,4,7,6,6,6,6,10,10,6,7,6,8,6,8,5,4,7
264,brueggemann,59,brueggemann_59,6,6.631578947368421,38,7,8,6,7,8,8,5,7,8,6,5,6,4,5,6,5,7,6,6,4,7,6,6,6,7,7,8,10,9,6,7,5,6,9,6,8,7,8
265,hervormd,11jan2026_18,hervormd_11jan2026_18,6,6.631578947368421,38,7,6,8,7,6,7,7,6,6,8,7,7,6,5,6,7,6,4,7,5,7,5,6,6,6,6,8,7,9,5,6,6,7,9,7,9,8,7
266,keller,19,keller_19,9,6.631578947368421,38,7,8,6,7,8,6,6,7,8,6,5,6,5,4,7,6,7,5,8,8,7,5,6,6,7,7,8,10,9,8,7,6,6,8,6,5,4,7
267,keller,41,keller_41,9,6.631578947368421,38,7,9,5,6,8,6,7,8,9,6,7,6,4,6,7,5,7,6,7,8,8,7,6,6,7,7,8,7,9,7,7,6,8,7,3,5,4,6
268,rutledge,262,rutledge_262,6,6.631578947368421,38,7,8,6,7,7,6,8,7,8,6,8,6,5,6,7,4,6,7,5,3,8,5,7,6,7,7,6,10,9,5,7,6,8,8,5,8,7,6
269,rutledge,268,rutledge_268,4,6.631578947368421,38,7,8,5,7,6,7,8,6,8,8,7,8,4,3,6,4,7,5,8,4,8,4,8,6,6,6,7,7,10,5,6,7,8,6,9,8,7,8
270,rutledge,279,rutledge_279,6,6.631578947368421,38,7,8,6,6,8,7,7,7,8,5,7,6,6,4,7,5,8,6,7,4,7,5,7,6,6,7,8,7,10,8,7,5,6,8,5,6,7,8
271,rutledge,297,rutledge_297,7,6.631578947368421,38,7,8,5,7,6,6,6,7,8,8,6,8,5,6,7,4,6,3,7,4,7,5,8,6,6,6,7,7,10,8,7,5,6,9,7,9,8,7
272,rutledge,31,rutledge_31,7,6.631578947368421,38,7,8,6,8,7,7,8,6,7,8,7,7,5,4,7,6,6,5,6,5,8,7,7,6,7,7,6,7,9,5,7,6,6,8,6,7,6,7
273,rutledge,33,rutledge_33,7,6.631578947368421,38,7,8,6,7,6,5,8,6,7,8,8,7,4,3,7,5,6,4,6,5,6,5,8,7,7,7,7,7,10,6,6,5,7,8,7,9,9,8
274,rutledge,360,rutledge_360,6,6.631578947368421,38,8,9,7,7,8,6,7,7,8,5,7,6,4,5,7,4,6,7,7,3,7,4,7,6,6,6,8,7,10,8,7,5,6,9,6,7,8,7
275,rutledge,362,rutledge_362,6,6.631578947368421,38,7,8,7,7,8,6,8,7,8,6,8,6,6,7,4,5,5,3,6,4,8,5,6,6,6,6,7,10,9,5,7,6,6,9,6,9,8,7
276,rutledge,77,rutledge_77,4,6.631578947368421,38,8,8,6,8,7,7,7,6,7,9,7,8,4,2,6,4,5,3,7,4,6,4,8,6,6,6,7,10,10,7,6,8,7,7,6,8,9,8
277,taylor,103,taylor_103,4,6.631578947368421,38,6,8,6,8,7,8,7,6,8,9,7,8,3,2,7,4,6,5,7,2,7,4,7,6,6,6,5,10,9,6,6,7,8,7,8,9,8,9
278,taylor,82,taylor_82,4,6.631578947368421,38,7,8,6,7,6,8,7,6,8,8,7,8,4,5,7,4,6,3,6,5,6,5,7,6,7,7,8,7,9,6,6,7,8,7,6,7,8,9
279,brueggemann,101,brueggemann_101,6,6.605263157894737,38,7,8,7,7,8,8,6,7,8,8,6,8,3,4,5,6,7,4,5,2,7,5,6,6,6,7,7,10,8,7,6,6,5,9,8,9,8,7
280,brueggemann,133,brueggemann_133,6,6.605263157894737,38,7,8,6,6,7,8,6,7,8,5,6,6,5,4,6,5,7,4,6,2,8,5,7,6,7,7,6,10,9,7,6,6,7,8,7,9,8,9
281,brueggemann,150,brueggemann_150,5,6.605263157894737,38,8,8,9,7,8,7,5,8,8,6,5,6,6,7,5,6,4,7,5,4,7,4,5,5,6,6,8,10,8,5,7,6,5,9,7,9,8,7
282,brueggemann,169,brueggemann_169,6,6.605263157894737,38,8,8,6,7,7,8,7,7,8,5,7,6,5,4,5,6,6,4,6,5,7,5,7,6,6,6,8,10,6,7,6,6,5,9,8,9,8,7
283,brueggemann,28,brueggemann_28,6,6.605263157894737,38,7,8,7,7,8,8,7,7,8,5,7,6,4,5,6,5,6,4,7,3,8,4,5,5,6,6,7,10,9,7,7,5,6,9,8,9,8,7
284,brueggemann,38,brueggemann_38,4,6.605263157894737,38,7,8,6,8,7,8,7,6,7,8,6,8,5,6,7,4,6,3,5,4,7,5,7,6,6,7,8,7,7,6,7,5,6,8,7,9,8,9
285,brueggemann,76,brueggemann_76,6,6.605263157894737,38,7,8,7,6,7,8,8,7,8,5,8,6,5,4,6,5,6,7,5,3,7,4,5,6,6,6,7,10,9,5,6,6,7,9,8,9,8,7
286,keller,42,keller_42,9,6.605263157894737,38,7,8,6,6,8,5,7,8,9,6,7,6,7,6,7,5,8,6,8,8,7,6,6,6,7,7,8,10,9,8,7,5,6,7,2,3,4,5
287,rutledge,03,rutledge_03,3,6.605263157894737,38,8,8,7,8,8,7,7,7,8,9,6,8,5,4,7,6,7,6,7,5,6,5,8,7,7,7,7,7,9,7,7,5,6,7,3,6,4,5
288,rutledge,17,rutledge_17,9,6.605263157894737,38,8,8,6,8,7,7,7,7,8,5,6,6,4,5,6,5,7,8,6,8,7,6,7,6,7,7,8,10,10,7,7,6,6,7,5,3,4,6
289,rutledge,247,rutledge_247,6,6.605263157894737,38,8,9,7,7,8,6,7,7,8,5,7,6,4,5,7,5,4,6,4,5,7,5,7,6,6,6,8,7,9,6,7,5,6,9,7,8,9,8
290,rutledge,253,rutledge_253,9,6.605263157894737,38,7,8,5,8,7,6,8,7,9,7,7,6,5,4,6,5,6,4,7,5,8,5,7,6,7,7,8,10,10,7,7,6,6,8,5,6,4,7
291,rutledge,275,rutledge_275,6,6.605263157894737,38,7,8,6,7,8,6,8,7,8,6,7,6,6,5,4,5,6,4,7,4,6,5,7,6,6,6,8,7,10,6,7,5,6,8,7,9,8,9
292,rutledge,309,rutledge_309,6,6.605263157894737,38,7,8,6,7,8,6,8,6,7,8,7,7,4,3,7,5,6,6,7,5,7,5,7,6,6,6,8,7,9,7,7,6,8,8,6,7,6,7
293,rutledge,312,rutledge_312,6,6.605263157894737,38,7,8,5,7,8,6,7,7,8,5,7,6,4,3,6,5,7,2,6,3,7,5,7,6,6,6,8,10,10,8,7,7,6,9,8,9,8,7
294,rutledge,350,rutledge_350,2,6.605263157894737,38,8,8,6,7,8,7,7,7,8,8,7,8,5,4,6,5,7,4,7,8,8,4,6,5,6,6,7,10,10,8,8,6,7,5,7,3,4,6
295,rutledge,51,rutledge_51,7,6.605263157894737,38,8,8,6,7,8,7,8,6,8,7,8,8,4,3,7,5,6,7,6,5,6,5,7,6,7,7,8,10,9,8,6,7,8,6,3,5,4,7
296,rutledge,57,rutledge_57,6,6.605263157894737,38,8,7,6,7,8,6,8,6,7,8,7,7,6,4,5,6,5,3,5,4,7,5,7,6,6,6,6,10,9,7,6,6,5,9,7,9,9,8
297,solle,04,solle_04,7,6.605263157894737,38,7,8,6,7,8,6,7,6,5,8,7,8,6,5,7,6,4,3,4,4,7,5,7,6,6,7,8,7,7,5,6,7,8,9,8,9,8,9
298,brueggemann,111,brueggemann_111,6,6.578947368421052,38,6,8,7,7,8,7,8,7,8,5,7,6,5,6,7,6,5,4,5,4,7,4,5,6,6,6,8,10,9,6,7,5,6,9,7,8,8,7
299,brueggemann,125,brueggemann_125,5,6.578947368421052,38,7,8,6,8,7,8,6,6,7,8,5,7,5,6,4,5,6,3,5,2,8,5,6,6,6,7,7,10,9,6,7,5,6,8,9,9,9,8
300,brueggemann,14,brueggemann_14,6,6.578947368421052,38,7,8,6,6,8,7,7,7,8,6,7,6,5,4,7,5,6,4,6,4,7,5,6,6,6,6,8,10,9,7,7,5,6,9,6,8,7,8
301,brueggemann,29,brueggemann_29,6,6.578947368421052,38,6,8,7,7,8,7,8,7,8,6,7,6,4,5,7,6,5,4,5,5,8,5,6,6,6,6,7,10,7,6,7,5,6,9,7,8,7,8
302,brueggemann,37,brueggemann_37,6,6.578947368421052,38,7,8,6,6,8,8,6,7,8,5,6,6,6,4,5,7,6,4,7,3,7,5,6,6,6,6,7,10,9,6,6,7,5,8,7,9,9,8
303,brueggemann,65,brueggemann_65,6,6.578947368421052,38,8,8,6,7,8,7,6,7,8,8,6,8,4,3,6,5,7,4,6,2,7,5,6,6,6,6,8,7,9,8,7,6,6,8,7,7,8,9
304,brueggemann,66,brueggemann_66,5,6.578947368421052,38,6,8,7,8,7,7,6,7,7,8,6,8,5,6,4,7,6,5,5,3,8,5,6,6,7,7,7,4,9,8,7,5,6,9,7,8,7,8
305,brueggemann,83,brueggemann_83,5,6.578947368421052,38,7,8,6,7,6,8,6,7,8,5,6,6,4,5,6,5,6,4,6,4,8,5,6,6,7,7,7,7,9,7,7,6,6,8,8,9,9,8
306,brueggemann,95,brueggemann_95,6,6.578947368421052,38,7,8,6,7,8,8,7,6,6,8,7,7,4,5,7,6,5,4,6,3,6,5,7,6,6,6,8,10,9,6,6,5,7,9,6,8,8,7
307,keller,05,keller_05,9,6.578947368421052,38,6,8,5,7,8,6,7,7,8,5,7,6,6,5,7,6,7,4,8,8,8,7,6,6,7,7,7,7,8,7,7,6,8,7,6,5,4,6
308,keller,17,keller_17,6,6.578947368421052,38,7,8,6,6,8,7,7,8,9,6,7,6,5,6,7,4,6,3,7,8,8,5,6,5,6,6,8,10,9,8,7,5,6,8,4,7,6,5
309,rutledge,118,rutledge_118,2,6.578947368421052,38,8,8,6,7,8,6,8,7,8,6,8,6,4,6,7,6,7,8,7,4,8,5,7,6,6,6,8,7,10,8,8,6,7,7,4,3,4,5
310,rutledge,121,rutledge_121,2,6.578947368421052,38,7,8,6,7,8,6,7,6,7,8,7,8,4,5,7,6,7,6,7,5,7,5,8,6,7,7,7,7,10,8,7,5,6,6,6,5,4,7
311,rutledge,16,rutledge_16,2,6.578947368421052,38,7,8,6,7,8,6,7,6,7,8,6,7,6,5,7,6,7,5,7,4,7,5,7,6,7,7,6,7,10,8,7,7,6,7,4,5,6,8
312,rutledge,20,rutledge_20,6,6.578947368421052,38,7,8,6,7,8,6,6,6,8,7,5,7,4,5,7,6,6,5,7,4,8,5,7,6,6,7,6,10,10,8,7,5,6,6,5,8,7,8
313,rutledge,226,rutledge_226,7,6.578947368421052,38,8,8,6,8,7,7,7,6,7,8,7,8,5,4,7,4,6,5,6,3,6,5,8,6,6,7,7,10,10,8,6,7,7,6,5,4,8,7
314,rutledge,354,rutledge_354,4,6.578947368421052,38,6,8,7,8,7,7,7,6,6,8,7,8,4,5,6,5,6,3,7,5,6,5,7,6,7,7,6,7,9,7,6,6,7,6,9,8,7,8
315,rutledge,44,rutledge_44,5,6.578947368421052,38,7,8,7,7,8,6,8,7,9,6,7,6,4,5,5,4,6,3,7,5,8,4,6,5,6,6,7,7,10,8,7,6,6,9,6,9,8,7
316,rutledge,61,rutledge_61,6,6.578947368421052,38,7,8,5,6,7,6,6,7,8,5,6,6,6,4,7,5,6,4,7,3,7,5,7,6,6,7,8,7,10,8,7,5,6,9,7,9,8,9
317,brueggemann,130,brueggemann_130,5,6.552631578947368,38,6,8,6,7,8,8,6,7,8,6,6,6,5,6,7,4,6,7,5,3,8,6,5,6,6,6,7,10,7,6,7,5,6,9,6,9,8,7
318,brueggemann,131,brueggemann_131,6,6.552631578947368,38,6,8,7,7,8,7,7,7,8,5,7,6,6,5,7,6,6,5,4,4,7,5,6,6,6,6,8,10,7,7,7,6,6,8,7,6,7,8
319,brueggemann,136,brueggemann_136,6,6.552631578947368,38,7,8,6,6,7,8,6,7,8,5,7,6,5,4,6,5,6,4,7,3,8,5,6,6,7,7,7,10,7,6,7,5,6,9,8,9,8,7
320,brueggemann,157,brueggemann_157,6,6.552631578947368,38,6,8,6,7,8,7,6,7,8,5,6,6,4,5,7,5,6,5,6,4,7,5,6,6,6,6,8,10,9,6,6,5,7,9,7,9,7,8
321,brueggemann,20,brueggemann_20,5,6.552631578947368,38,8,8,6,7,8,7,6,7,8,8,6,8,6,5,6,7,4,5,3,4,7,5,6,6,6,6,7,7,7,6,7,5,6,9,8,9,8,7
322,rutledge,104,rutledge_104,4,6.552631578947368,38,6,8,7,7,8,7,8,6,8,7,8,7,2,3,5,4,6,5,7,4,8,4,7,5,6,6,6,7,10,6,7,5,6,8,9,9,8,9
323,rutledge,12,rutledge_12,6,6.552631578947368,38,7,8,6,8,7,6,8,7,8,6,7,6,6,5,7,6,7,5,7,4,8,5,7,6,6,6,8,7,10,7,7,5,6,8,5,6,4,7
324,rutledge,23,rutledge_23,6,6.552631578947368,38,7,8,6,8,7,6,7,6,6,8,6,8,4,3,7,5,6,7,6,4,6,4,7,6,6,6,8,10,9,7,7,5,6,9,7,8,7,6
325,rutledge,267,rutledge_267,4,6.552631578947368,38,7,8,5,7,6,8,7,6,8,8,6,8,4,3,6,5,7,4,8,4,8,4,8,6,6,6,7,7,10,5,6,8,7,6,7,8,7,8
326,rutledge,280,rutledge_280,6,6.552631578947368,38,7,8,6,7,8,6,6,7,8,5,6,6,6,4,7,5,6,4,7,3,7,5,7,6,6,7,8,7,9,8,7,6,6,9,6,8,7,8
327,rutledge,311,rutledge_311,5,6.552631578947368,38,7,8,5,6,7,6,6,6,8,7,6,7,4,6,5,4,5,6,5,4,8,5,7,6,7,7,6,10,9,5,6,6,7,9,7,9,9,8
328,rutledge,326,rutledge_326,5,6.552631578947368,38,6,8,6,8,7,7,7,8,9,6,7,6,4,6,5,4,7,6,8,5,8,4,5,5,6,6,7,7,10,7,8,5,6,9,5,6,7,8
329,rutledge,355,rutledge_355,7,6.552631578947368,38,8,8,6,6,7,7,8,6,7,8,8,7,6,4,7,6,5,7,8,5,8,5,7,6,6,7,6,7,9,7,7,6,8,5,4,6,4,7
330,rutledge,76,rutledge_76,5,6.552631578947368,38,7,8,6,7,6,6,8,7,8,6,7,6,6,7,5,6,5,3,4,5,8,4,6,6,6,6,7,7,10,7,7,5,6,9,7,8,8,9
331,taylor,125,taylor_125,6,6.552631578947368,38,6,8,5,6,7,8,8,6,6,7,8,7,6,4,7,5,5,4,5,5,6,7,7,6,7,7,8,7,6,5,6,6,7,8,7,9,8,9
332,taylor,136,taylor_136,7,6.552631578947368,38,7,7,5,7,6,8,8,6,7,9,8,8,4,5,6,5,6,4,7,4,7,5,7,6,6,7,6,10,9,8,6,7,8,4,8,5,7,6
333,taylor,76,taylor_76,4,6.552631578947368,38,6,7,5,8,7,8,7,7,8,9,7,8,4,6,5,4,5,3,7,4,8,4,7,6,6,6,6,7,10,5,6,6,7,7,7,9,9,8
334,brueggemann,102,brueggemann_102,5,6.526315789473684,38,6,8,6,7,8,7,7,7,8,6,7,6,3,4,6,5,5,2,4,5,8,6,6,6,7,7,7,7,9,8,7,6,6,8,7,9,9,8
335,brueggemann,107,brueggemann_107,6,6.526315789473684,38,7,8,6,7,8,8,7,6,7,8,7,7,6,5,4,6,5,3,5,3,7,5,6,6,6,7,7,10,7,5,6,6,7,9,7,9,8,7
336,brueggemann,122,brueggemann_122,6,6.526315789473684,38,7,8,6,6,7,8,8,7,8,6,8,6,4,5,6,5,4,5,4,3,8,5,6,6,6,6,7,10,7,5,7,7,6,8,7,9,8,9
337,brueggemann,147,brueggemann_147,6,6.526315789473684,38,7,8,6,7,7,6,6,6,7,8,5,7,5,4,6,7,6,5,4,3,6,5,7,6,7,7,8,10,7,6,6,5,7,9,8,9,8,7
338,brueggemann,158,brueggemann_158,5,6.526315789473684,38,7,8,6,7,6,8,5,7,8,6,5,6,5,6,7,5,4,6,4,3,7,7,6,7,7,7,8,10,7,6,6,5,5,9,8,9,8,7
339,brueggemann,24,brueggemann_24,4,6.526315789473684,38,7,8,6,8,7,8,7,6,7,9,7,8,5,3,6,4,5,6,4,3,6,7,6,7,7,7,7,7,6,5,6,6,7,8,9,8,7,8
340,brueggemann,51,brueggemann_51,6,6.526315789473684,38,7,8,6,7,8,7,5,6,8,7,5,7,5,4,6,7,5,4,6,3,8,5,6,6,7,7,7,10,9,6,7,5,6,6,8,9,7,8
341,brueggemann,53,brueggemann_53,7,6.526315789473684,38,7,8,7,8,7,8,5,6,7,8,5,8,5,4,6,7,5,4,6,3,6,5,8,6,6,7,7,7,7,5,6,6,7,9,8,9,8,7
342,keller,06,keller_06,9,6.526315789473684,38,7,8,5,7,8,6,6,7,8,5,6,6,4,5,7,5,7,4,6,8,7,5,6,6,7,6,8,10,7,8,7,6,6,9,4,6,7,8
343,rutledge,125,rutledge_125,2,6.526315789473684,38,8,8,6,7,8,7,6,7,8,8,6,8,6,5,7,6,7,6,8,5,7,4,7,6,6,6,8,7,9,8,7,5,6,5,7,3,4,6
344,rutledge,134,rutledge_134,4,6.526315789473684,38,7,8,6,7,8,6,7,6,6,8,7,7,5,4,3,5,4,2,6,7,7,5,7,6,6,6,6,10,9,5,6,6,7,9,8,9,9,8
345,rutledge,135,rutledge_135,5,6.526315789473684,38,7,8,6,7,8,6,8,7,8,5,7,6,5,7,4,5,4,3,6,7,7,5,6,6,6,6,7,7,9,6,7,5,6,8,7,9,8,9
346,rutledge,161,rutledge_161,6,6.526315789473684,38,7,8,6,6,8,7,8,7,9,6,8,6,4,3,6,4,7,5,6,3,7,4,6,5,6,6,8,7,10,8,7,6,6,8,6,7,8,9
347,rutledge,165,rutledge_165,6,6.526315789473684,38,6,8,5,6,8,7,8,7,9,6,8,6,5,4,6,5,7,4,7,3,7,4,6,5,6,6,8,7,10,8,7,5,6,9,6,8,7,8
348,rutledge,218,rutledge_218,9,6.526315789473684,38,7,8,6,7,8,6,8,7,8,6,8,6,6,7,7,5,8,7,8,6,7,5,7,6,7,7,8,10,10,8,7,5,6,5,2,2,3,4
349,rutledge,276,rutledge_276,6,6.526315789473684,38,6,8,7,7,7,6,8,7,8,6,8,6,6,5,6,4,5,4,7,3,7,5,7,6,6,6,6,7,9,7,7,6,6,9,6,9,7,8
350,rutledge,91,rutledge_91,6,6.526315789473684,38,7,8,6,6,7,5,8,6,7,8,8,7,5,4,6,5,6,3,6,2,7,5,6,6,6,6,7,7,10,8,6,6,7,8,9,7,9,8
351,solle,10,solle_10,6,6.526315789473684,38,6,8,7,7,8,6,8,6,6,8,8,7,4,6,7,5,4,6,3,5,6,5,7,6,7,7,8,10,8,4,6,5,7,9,4,9,7,8
352,solle,14,solle_14,7,6.526315789473684,38,7,9,6,8,7,8,7,6,6,8,7,8,5,4,7,6,7,7,5,4,7,5,8,6,6,7,7,7,7,5,7,6,8,8,5,6,4,7
353,solle,18,solle_18,6,6.526315789473684,38,6,8,7,7,8,7,8,7,8,6,8,6,5,3,6,4,6,5,4,3,8,4,5,5,6,6,7,10,8,5,6,6,7,9,8,9,8,9
354,taylor,42,taylor_42,4,6.526315789473684,38,6,7,5,7,6,8,7,6,7,8,7,8,5,4,6,5,6,7,5,4,7,5,7,6,7,7,6,10,7,5,6,6,7,6,9,8,7,8
355,taylor,67,taylor_67,4,6.526315789473684,38,7,8,6,8,7,9,7,5,6,8,7,8,4,3,6,5,6,2,5,5,6,5,7,6,7,7,8,10,9,7,6,7,8,6,7,5,7,8
356,augustine,04,augustine_04,2,6.5,38,7,8,6,7,8,8,8,7,9,6,7,6,3,4,4,6,7,5,8,7,8,6,5,5,6,6,7,7,9,8,8,7,6,6,6,5,4,7
357,brueggemann,103,brueggemann_103,6,6.5,38,8,8,6,7,8,7,6,7,8,6,5,6,4,3,6,5,6,5,5,3,7,5,6,6,6,6,8,10,9,6,7,5,6,9,8,9,8,7
358,brueggemann,104,brueggemann_104,6,6.5,38,7,8,6,7,8,8,8,6,6,7,7,7,4,3,6,7,5,2,6,2,6,4,7,5,6,6,8,10,9,8,6,6,7,8,7,9,8,7
359,brueggemann,11,brueggemann_11,7,6.5,38,8,8,6,8,7,7,5,6,7,8,5,7,4,5,6,5,4,3,6,2,7,5,7,6,6,6,6,10,9,8,7,6,6,8,7,9,8,9
360,brueggemann,126,brueggemann_126,5,6.5,38,7,8,7,6,8,7,7,8,9,5,7,5,5,6,7,4,5,6,6,3,8,4,5,5,6,6,7,10,7,6,7,5,6,9,6,9,8,7
361,brueggemann,140,brueggemann_140,6,6.5,38,6,8,7,7,8,7,5,7,7,6,5,6,4,3,6,5,6,5,5,4,7,5,6,6,7,7,8,10,9,6,7,5,6,8,7,9,8,9
362,brueggemann,175,brueggemann_175,3,6.5,38,7,8,5,7,6,8,6,7,7,8,6,8,6,7,6,7,5,8,4,5,7,5,7,6,6,6,8,10,7,6,7,5,6,8,5,7,4,6
363,brueggemann,39,brueggemann_39,5,6.5,38,8,8,6,7,8,7,6,8,8,5,6,6,5,6,4,5,4,7,4,3,7,5,6,6,6,6,8,10,7,7,8,5,6,9,6,9,8,7
364,brueggemann,40,brueggemann_40,6,6.5,38,6,8,7,7,8,7,6,7,8,6,5,6,4,5,6,5,7,6,6,4,7,5,6,6,6,6,8,10,9,6,7,5,6,7,8,7,6,8
365,brueggemann,94,brueggemann_94,6,6.5,38,7,8,6,6,7,8,7,6,7,8,7,7,4,3,6,5,6,4,7,2,7,5,6,6,6,6,8,10,9,6,6,5,7,9,7,8,7,8
366,keller,12,keller_12,9,6.5,38,7,8,6,6,8,5,8,7,8,7,7,7,6,5,7,6,8,7,7,8,7,5,6,6,7,7,8,7,9,8,7,6,6,5,2,3,4,6
367,keller,29,keller_29,9,6.5,38,7,8,6,6,8,5,7,8,8,6,7,6,6,5,7,4,7,6,7,8,7,5,6,6,6,6,8,10,9,8,7,6,6,7,3,5,4,6
368,rutledge,136,rutledge_136,2,6.5,38,7,8,6,7,6,5,6,7,8,7,6,8,5,7,4,6,6,3,5,4,7,4,7,6,6,6,6,7,10,8,7,6,6,9,7,9,8,7
369,rutledge,142,rutledge_142,2,6.5,38,7,8,6,8,7,8,7,6,8,9,7,8,5,6,4,7,6,7,7,4,8,5,7,6,6,6,8,7,10,8,7,6,8,6,2,3,4,5
370,rutledge,159,rutledge_159,6,6.5,38,6,8,7,6,8,7,7,7,8,5,7,6,5,4,6,5,7,4,7,4,7,4,6,5,6,6,8,7,10,8,7,5,6,9,6,8,7,8
371,rutledge,220,rutledge_220,2,6.5,38,8,8,6,8,7,7,8,6,7,9,8,8,6,7,5,4,8,7,8,5,7,4,8,6,6,7,7,7,9,7,7,6,8,4,5,2,3,4
372,rutledge,24,rutledge_24,2,6.5,38,8,7,6,8,7,8,6,7,8,8,6,8,5,4,6,5,7,6,7,3,7,4,7,6,6,6,8,7,10,8,7,5,6,7,8,5,4,6
373,rutledge,254,rutledge_254,7,6.5,38,8,8,6,8,7,7,7,7,8,6,7,6,4,3,6,5,6,4,7,4,8,5,7,6,7,7,6,10,9,7,8,6,7,8,5,6,4,7
374,rutledge,286,rutledge_286,6,6.5,38,5,8,6,6,7,5,8,7,8,6,8,6,4,3,7,5,6,4,6,5,8,5,7,6,6,6,6,7,9,7,6,6,7,9,8,9,8,7
375,rutledge,319,rutledge_319,6,6.5,38,7,8,6,6,7,6,7,6,8,7,7,7,5,4,5,6,6,3,7,4,7,5,6,6,6,6,7,7,9,8,6,6,7,7,6,9,8,9
376,rutledge,343,rutledge_343,5,6.5,38,7,8,6,7,8,7,5,7,8,6,5,6,6,7,4,5,6,3,7,3,8,4,5,5,6,6,7,10,10,8,7,6,5,9,6,9,8,7
377,rutledge,352,rutledge_352,2,6.5,38,8,8,6,8,7,8,7,7,8,8,6,8,6,5,4,6,7,5,7,5,7,4,8,5,6,6,7,10,10,8,8,6,7,7,2,3,4,5
378,rutledge,40,rutledge_40,6,6.5,38,7,8,7,7,8,6,5,6,8,7,5,7,5,4,7,6,5,3,6,4,6,5,7,6,6,6,8,7,10,5,6,6,7,9,7,8,9,8
